Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Rate
Post_22,tiktok,#viral,live stream,usa,3924406,35376,72832,3949,medium,0.02857935697784582
Post_23,youtube,#dance,shorts,brazil,599766,223690,22531,10538,low,0.42809862513046754
Post_24,twitter,#education,shorts,japan,4357851,449803,63438,28280,high,0.12426331235280876
Post_25,youtube,#dance,tweet,germany,731492,474649,98377,3654,high,0.7883613217916259
Post_26,youtube,#dance,live stream,brazil,4910814,197287,53218,14896,low,0.0540441971534658
Post_27,instagram,#gaming,video,india,4369260,212278,21264,18172,low,0.057610213171109065
Post_28,youtube,#tech,post,canada,1874437,322601,35671,48768,medium,0.21715320386868164
Post_29,instagram,#gaming,live stream,canada,1653907,91836,77370,2823,low,0.1040137081468305
Post_30,youtube,#education,shorts,japan,4683280,311330,3357,5110,medium,0.06828483456039357
Post_31,instagram,#comedy,reel,australia,1365655,156164,84930,18303,low,0.18994328728705273
Post_32,twitter,#music,video,usa,2342195,91944,89578,44440,medium,0.09647446092233994
Post_33,youtube,#gaming,live stream,usa,4977438,8731,4500,46045,low,0.011908937891340886
Post_34,youtube,#viral,reel,australia,3005703,16688,77970,15891,low,0.036779748365024754
Post_35,youtube,#education,tweet,uk,936390,368646,92202,2016,low,0.4943068593214366
Post_36,tiktok,#education,live stream,japan,1855796,158156,6423,20518,high,0.09973994986517914
Post_37,instagram,#music,reel,germany,48908,205884,37256,14618,low,5.270262533736812
Post_38,instagram,#dance,video,india,1367820,10794,7617,36639,medium,0.04024652366539457
Post_39,tiktok,#gaming,shorts,usa,4499253,469481,89583,41549,high,0.13349171518027547
Post_40,twitter,#comedy,post,usa,4510477,274631,82143,13932,low,0.082187759742484
Post_41,twitter,#education,reel,india,4380015,355402,41860,42729,high,0.1004542221887368
Post_42,youtube,#fashion,live stream,australia,943395,402996,18661,11999,high,0.45967595757874485
Post_43,twitter,#comedy,post,brazil,3961278,49656,93072,23952,medium,0.04207732958908716
Post_44,youtube,#comedy,shorts,brazil,4080112,171609,17994,41339,medium,0.056601877595516985
Post_45,twitter,#comedy,shorts,germany,3934142,380972,42858,26194,low,0.11438936367828106
Post_46,instagram,#gaming,tweet,brazil,272327,274271,56073,17526,high,1.2773981279858406
Post_47,instagram,#tech,reel,japan,1600237,325368,62818,25686,medium,0.25863169018089194
Post_48,instagram,#dance,live stream,india,2212857,74624,24137,35546,medium,0.06069393548701972
Post_49,twitter,#gaming,live stream,usa,4711157,313821,86074,36395,high,0.09260782436246552
Post_50,instagram,#fashion,reel,japan,2747788,422463,21545,40997,low,0.17650743070426103
Post_51,youtube,#dance,post,australia,2081426,225061,67840,28774,medium,0.1545454894865347
Post_52,youtube,#music,live stream,canada,2258494,159509,25505,8605,medium,0.0857292514392334
Post_53,youtube,#comedy,tweet,japan,1357850,472399,90644,33331,low,0.4392046249585742
Post_54,twitter,#fitness,reel,canada,392337,332566,43169,45161,medium,1.0727920129888335
Post_55,twitter,#dance,reel,usa,4006009,491965,60534,31438,high,0.1457652741169578
Post_56,youtube,#fitness,tweet,australia,3934991,389693,81891,32967,medium,0.12822164015114648
Post_57,instagram,#challenge,live stream,australia,2824818,34126,53516,29452,low,0.04145187406763905
Post_58,twitter,#dance,video,australia,197986,184395,9408,7599,medium,1.017253745214308
Post_59,youtube,#challenge,post,germany,2291491,474568,83894,6150,high,0.24639503275378347
Post_60,twitter,#music,live stream,uk,3525573,40967,4121,26381,low,0.020271598404004117
Post_61,tiktok,#music,reel,usa,866896,122451,79602,25491,low,0.26248131263727137
Post_62,youtube,#tech,video,australia,4104535,331535,60374,13314,medium,0.09872567781734107
Post_63,tiktok,#dance,tweet,india,2601441,93254,55921,48758,low,0.07608590777188488
Post_64,instagram,#gaming,shorts,canada,1142030,212596,72334,18,high,0.24951008292251517
Post_65,youtube,#fashion,shorts,canada,2969591,358102,26688,8128,low,0.13231384389298054
Post_66,tiktok,#education,post,japan,855465,14117,73654,46422,high,0.15686556434219986
Post_67,youtube,#viral,video,brazil,4453459,376054,36502,19620,high,0.09704277057451298
Post_68,twitter,#dance,reel,japan,1059696,75851,99754,47614,high,0.21064437348069634
Post_69,twitter,#fitness,tweet,usa,581577,341805,67524,485,high,0.7046599160558276
Post_70,youtube,#fitness,tweet,australia,4226427,421149,53769,27804,medium,0.11894728100118611
Post_71,twitter,#dance,reel,japan,485214,50577,92342,43775,medium,0.3847663092985775
Post_72,instagram,#education,tweet,australia,1419701,68719,98115,36515,low,0.14323368089477995
Post_73,tiktok,#fashion,post,germany,4378457,136878,89273,41624,medium,0.061157389463913886
Post_74,tiktok,#music,post,india,3647159,216783,79133,7687,high,0.08324369735457104
Post_75,youtube,#gaming,video,usa,1750105,125485,942,20317,low,0.0838486833647124
Post_76,instagram,#dance,tweet,india,1796369,145118,68421,16720,high,0.12818023468452194
Post_77,twitter,#fitness,shorts,india,1535141,15408,23087,23147,medium,0.040153966313192076
Post_78,twitter,#challenge,video,australia,612594,132163,29340,40557,medium,0.32984325670835823
Post_79,instagram,#challenge,reel,usa,4219632,171996,5043,3436,medium,0.04277031741156575
Post_80,twitter,#viral,shorts,japan,3994554,241425,99422,41307,high,0.09566875300721933
Post_81,instagram,#challenge,shorts,india,4290853,211176,66264,14337,medium,0.06799976601389048
Post_82,instagram,#dance,live stream,australia,284772,338933,22771,18899,low,1.336518337476999
Post_83,instagram,#gaming,live stream,japan,4637078,219517,5831,32657,low,0.05563956439809725
Post_84,instagram,#comedy,shorts,brazil,3315125,62336,79392,42892,high,0.055690207759888394
Post_85,twitter,#fitness,shorts,brazil,4357287,106179,4262,12978,medium,0.02832473509318987
Post_86,tiktok,#fitness,shorts,canada,907386,52457,77192,32870,high,0.17910679688688166
Post_87,twitter,#gaming,post,india,1908555,194688,34182,3500,high,0.12175179651621253
Post_88,twitter,#challenge,post,japan,3074269,18233,37713,28599,medium,0.027500846542706577
Post_89,youtube,#dance,post,brazil,4067125,190686,12963,11560,high,0.05291428220180103
Post_90,youtube,#fitness,reel,japan,1173157,137342,95328,47250,low,0.23860404020945195
Post_91,tiktok,#fitness,reel,germany,2141884,23466,66627,40003,high,0.0607390502940402
Post_92,twitter,#comedy,post,india,4567233,66980,96596,49121,low,0.046570210015560845
Post_93,twitter,#gaming,post,uk,506074,69145,31191,43362,low,0.2839466165027249
Post_94,youtube,#comedy,tweet,uk,3210080,195970,75414,4473,high,0.08593461845187658
Post_95,tiktok,#tech,video,germany,128472,444670,64311,7956,medium,4.023732797808083
Post_96,tiktok,#music,reel,india,1347102,274212,15298,28342,high,0.2359524371576911
Post_97,tiktok,#tech,live stream,uk,92085,176687,5641,22316,medium,2.2223380572297335
Post_98,tiktok,#tech,post,australia,3843536,90333,10903,30677,medium,0.03432074006852024
Post_99,instagram,#viral,reel,germany,965073,263310,39207,27324,high,0.34177829034694784
Post_100,youtube,#education,post,canada,3096420,364521,73308,29082,low,0.1507905904237797
Post_101,youtube,#gaming,tweet,germany,2723916,1349,81918,11870,high,0.034926554269661764
Post_102,tiktok,#music,live stream,uk,2249678,46464,83075,5710,medium,0.06011927040225312
Post_103,twitter,#viral,shorts,germany,3311289,352538,55203,5369,medium,0.12475806249469618
Post_104,instagram,#music,tweet,india,3588997,241125,65026,30917,medium,0.09391704701898608
Post_105,instagram,#fitness,post,japan,13562,11483,33641,30457,medium,5.572998082878631
Post_106,twitter,#fitness,live stream,usa,3926751,302919,49216,30399,low,0.09741743237602792
Post_107,youtube,#music,tweet,uk,2750317,59766,75524,27938,high,0.05934879506616873
Post_108,tiktok,#challenge,reel,germany,4655757,383024,45530,48504,medium,0.10246625844089371
Post_109,instagram,#fitness,video,usa,4844012,452777,44862,23870,high,0.10766055079962643
Post_110,twitter,#dance,video,usa,3868789,188191,4660,26605,medium,0.05672472703990836
Post_111,twitter,#viral,tweet,australia,2517364,418305,51641,34605,high,0.2004283051636553
Post_112,instagram,#dance,video,brazil,1994041,310266,87995,40217,medium,0.21989417469349928
Post_113,tiktok,#education,shorts,australia,1402998,241244,56779,14849,high,0.22300245616886125
Post_114,youtube,#fashion,live stream,brazil,702950,17361,62405,10538,low,0.12846432889963724
Post_115,instagram,#education,tweet,canada,1599554,364748,16705,8949,high,0.24406928431300226
Post_116,tiktok,#tech,post,australia,4600976,443617,98343,18038,high,0.12171287135599056
Post_117,twitter,#viral,shorts,usa,2495410,213884,16804,17614,low,0.09950348840471104
Post_118,tiktok,#dance,video,germany,1838563,289125,77191,27066,high,0.21396166462612376
Post_119,youtube,#tech,shorts,india,2920650,416403,56902,2675,low,0.16297057161933132
Post_120,tiktok,#viral,video,germany,1772623,361245,30503,13260,low,0.22847949056285516
Post_121,instagram,#comedy,shorts,australia,2484315,101605,80028,36281,high,0.0877159297432089
Post_122,youtube,#comedy,live stream,india,4927173,22341,38730,42476,medium,0.02101549915133891
Post_123,tiktok,#challenge,video,uk,3924183,283030,30676,43977,low,0.09114839955221253
Post_124,instagram,#music,post,usa,4646060,21362,31562,19778,medium,0.015648097527797746
Post_125,youtube,#fitness,video,usa,3901900,20166,30661,25363,low,0.019526384581870372
Post_126,instagram,#fashion,video,japan,962137,319381,69098,38387,low,0.4436644677421199
Post_127,tiktok,#education,video,germany,3859007,277223,81798,46985,medium,0.1052099672273204
Post_128,twitter,#challenge,shorts,uk,3837223,140163,85932,40674,medium,0.06952137001159432
Post_129,instagram,#comedy,post,uk,1029488,449148,87211,35005,high,0.5549982127037906
Post_130,twitter,#fashion,post,germany,879364,232290,7501,23547,low,0.29946415818705335
Post_131,tiktok,#comedy,live stream,usa,4828597,131837,43770,9395,low,0.0383138207640853
Post_132,youtube,#education,video,india,3487375,107303,83451,45313,high,0.06769188859815764
Post_133,tiktok,#dance,tweet,india,3418884,311286,82479,7832,high,0.1174643538651794
Post_134,youtube,#challenge,reel,brazil,1337059,318166,72711,32791,high,0.3168655983019448
Post_135,tiktok,#education,live stream,canada,707841,133933,46058,45912,high,0.3191437060017716
Post_136,tiktok,#fitness,shorts,australia,1851460,345987,13274,43872,low,0.21773789333823038
Post_137,instagram,#fashion,tweet,canada,1438248,223413,84930,42774,low,0.24412827273182372
Post_138,instagram,#fashion,live stream,brazil,4027409,80497,44156,14597,medium,0.03457557948547069
Post_139,instagram,#music,video,india,3488909,443844,19877,22056,low,0.1392346432652729
Post_140,tiktok,#fitness,video,usa,1089083,150418,45387,25632,medium,0.20332426454182095
Post_141,tiktok,#fashion,live stream,germany,682046,480038,71997,18117,high,0.8359436167062045
Post_142,youtube,#tech,live stream,brazil,4849297,86843,16843,14705,low,0.024414054243326405
Post_143,instagram,#challenge,tweet,usa,4283565,107901,84854,4738,low,0.04610482156801636
Post_144,twitter,#comedy,shorts,india,50082,70708,277,25036,low,1.9172756679046363
Post_145,twitter,#viral,post,usa,3940355,82304,68754,15897,low,0.04237054783135022
Post_146,instagram,#education,reel,canada,964498,194879,76029,34998,high,0.31716602833805774
Post_147,tiktok,#tech,shorts,uk,636824,363548,17456,8176,low,0.6111264650829743
Post_148,tiktok,#comedy,reel,india,4179125,94325,72341,7328,low,0.04163407411838602
Post_149,instagram,#gaming,video,brazil,1292958,95304,3716,44880,low,0.11129518514909224
Post_150,instagram,#viral,reel,uk,4103477,75909,5645,4052,low,0.020861820353812146
Post_151,twitter,#education,reel,germany,3529777,68367,38326,879,high,0.03047557961876912
Post_152,instagram,#fashion,reel,usa,4593170,34210,33344,11022,low,0.017107139513669208
Post_153,tiktok,#challenge,shorts,brazil,3251679,498580,96093,9968,medium,0.18594732136843767
Post_154,instagram,#tech,shorts,canada,41081,319140,6541,23057,low,8.48903385993525
Post_155,twitter,#dance,shorts,canada,2127698,193956,14856,32442,medium,0.11338733222478002
Post_156,youtube,#education,shorts,australia,4765117,177035,49884,46238,medium,0.05732430074644547
Post_157,twitter,#fitness,reel,india,2114283,462542,14404,37153,low,0.2431552445911924
Post_158,youtube,#fashion,reel,canada,4391275,392281,14429,27404,high,0.09885830425104326
Post_159,tiktok,#gaming,post,india,1246500,471547,15048,40514,high,0.42287123947051747
Post_160,twitter,#music,tweet,germany,4555977,1087,23157,12611,medium,0.008089373585511955
Post_161,twitter,#gaming,tweet,india,400424,56569,59897,49341,medium,0.4140785767086888
Post_162,instagram,#challenge,video,brazil,3201846,335416,50986,16715,high,0.12590143311077423
Post_163,tiktok,#gaming,video,germany,102418,107650,94514,26548,medium,2.23312308383292
Post_164,twitter,#comedy,tweet,australia,4253909,448284,39383,32995,low,0.12239613024162012
Post_165,tiktok,#fitness,live stream,australia,1551922,47511,7404,25497,low,0.05181445974733266
Post_166,youtube,#challenge,post,germany,3587143,430347,96428,42640,medium,0.15873774756122072
Post_167,instagram,#fashion,video,usa,2252593,61466,13181,29007,high,0.04601541423594942
Post_168,youtube,#challenge,video,australia,2547290,382792,78654,30532,medium,0.19313780527541033
Post_169,youtube,#viral,reel,usa,2946297,223304,83502,10855,low,0.10781703270240577
Post_170,twitter,#education,video,india,4459268,356292,52389,33857,low,0.09924005464574007
Post_171,instagram,#music,live stream,australia,1630617,435112,71742,49750,high,0.3413456378781774
Post_172,instagram,#education,live stream,usa,4709770,389553,55435,16799,medium,0.09804873698715648
Post_173,instagram,#fitness,tweet,australia,2275387,271817,72208,27046,high,0.1630803902808621
Post_174,tiktok,#tech,tweet,brazil,2784320,373955,22997,15361,high,0.14808391276864727
Post_175,twitter,#music,tweet,usa,3674194,19972,97555,24310,medium,0.038603568564969624
Post_176,youtube,#music,post,uk,2126429,36274,51278,44234,medium,0.06197526463380625
Post_177,youtube,#fitness,shorts,usa,1598712,280260,58128,4485,high,0.21446827195892693
Post_178,twitter,#fashion,video,australia,3464211,115302,63150,37858,medium,0.062441346673167426
Post_179,twitter,#fitness,reel,uk,1519290,495937,13211,49107,low,0.367444661651166
Post_180,instagram,#fitness,tweet,canada,4888613,414422,11933,23903,high,0.09210342483645156
Post_181,twitter,#viral,shorts,usa,3712060,302466,63802,49953,low,0.11212668976255771
Post_182,instagram,#tech,reel,uk,4003071,22251,13517,13392,low,0.012280571591160886
Post_183,instagram,#dance,video,germany,681752,197632,98860,19379,high,0.46332243983149296
Post_184,instagram,#gaming,shorts,germany,4684548,122401,82864,42106,low,0.052805734939635585
Post_185,instagram,#tech,video,uk,3916842,292224,72417,38211,high,0.10285122555364755
Post_186,tiktok,#dance,reel,uk,798887,326922,87308,21689,medium,0.5456578965485732
Post_187,twitter,#gaming,video,australia,688077,243607,79071,12078,high,0.48650950402353227
Post_188,twitter,#challenge,reel,japan,1520250,214233,80,10917,medium,0.14815326426574577
Post_189,tiktok,#fashion,post,australia,496652,106618,64875,44200,high,0.43429403284392293
Post_190,tiktok,#education,reel,india,479620,337321,99486,26524,medium,0.9660376965097369
Post_191,youtube,#education,reel,usa,4221739,291223,61415,44293,low,0.09402073410980641
Post_192,twitter,#education,live stream,brazil,4425196,324343,33641,22289,high,0.0859335948057442
Post_193,instagram,#comedy,shorts,uk,4236960,259668,86293,16169,low,0.08546929874249462
Post_194,tiktok,#education,reel,india,2488223,177673,86535,39991,low,0.12225552130978615
Post_195,youtube,#dance,live stream,uk,2809035,359231,78623,27822,medium,0.1657779272953167
Post_196,youtube,#music,shorts,brazil,444252,398838,7767,19133,high,0.9583254549219812
Post_197,instagram,#fashion,reel,india,907575,42770,5219,47956,low,0.10571578106492577
Post_198,tiktok,#dance,post,canada,2440215,199343,53628,10359,medium,0.1079126224533494
Post_199,tiktok,#comedy,shorts,usa,3982001,131915,64092,22170,medium,0.05479079487925794
Post_200,twitter,#fashion,reel,brazil,3802724,457464,83495,19409,high,0.1473596295708024
Post_201,youtube,#dance,shorts,australia,3049554,441149,46483,36909,low,0.17200580806242485
Post_202,youtube,#fashion,video,germany,3186810,312491,66586,7390,medium,0.12127080058114541
Post_203,youtube,#gaming,live stream,australia,810296,77866,87591,41350,high,0.25522401690246527
Post_204,twitter,#dance,post,uk,4459224,957,54290,47674,high,0.023080473194439212
Post_205,instagram,#viral,post,usa,741152,226355,58251,46227,high,0.44637672164414316
Post_206,twitter,#fashion,tweet,usa,2945128,368541,66690,3800,medium,0.14907026112277633
Post_207,twitter,#music,post,canada,2302342,153529,52488,41257,high,0.10740107247315994
Post_208,youtube,#fashion,shorts,australia,469793,295293,29190,9480,medium,0.7108726609379025
Post_209,twitter,#comedy,live stream,uk,2452099,320043,91765,2987,low,0.16915915711396645
Post_210,tiktok,#tech,live stream,uk,2651939,209375,2127,12291,low,0.08438844181559228
Post_211,tiktok,#fitness,shorts,india,1580449,299597,35471,1908,high,0.213215358420297
Post_212,instagram,#dance,tweet,india,4764800,52536,65976,47528,medium,0.03484721289456011
Post_213,twitter,#comedy,tweet,japan,4336145,295452,2342,22411,medium,0.07384554713922159
Post_214,instagram,#viral,shorts,japan,4316287,188239,34891,39029,medium,0.06073715672752993
Post_215,twitter,#gaming,tweet,japan,1516746,272088,48475,36816,medium,0.2356221806419796
Post_216,tiktok,#fitness,post,usa,4497673,460735,96637,47633,medium,0.1345151148160393
Post_217,youtube,#dance,live stream,uk,1200639,381211,2574,40242,medium,0.3531677714950122
Post_218,youtube,#viral,tweet,usa,3115115,81186,14964,1885,low,0.03147074827093061
Post_219,twitter,#dance,tweet,india,89968,450376,40577,19844,medium,5.677540903432331
Post_220,tiktok,#dance,tweet,japan,2177828,478703,86167,17109,medium,0.2672290924719491
Post_221,twitter,#viral,shorts,india,306511,404600,32664,35337,medium,1.5418728854755621
Post_222,instagram,#music,reel,uk,4422912,199110,95413,32057,low,0.0738382314637958
Post_223,instagram,#tech,post,uk,4326885,300734,1870,1496,medium,0.07028150736615371
Post_224,youtube,#music,live stream,germany,4732360,84552,21664,36363,medium,0.03012851938567649
Post_225,youtube,#gaming,video,japan,2510808,348707,17968,46925,high,0.16472784856508343
Post_226,instagram,#education,video,usa,2710672,252420,23167,5670,low,0.10375914164458112
Post_227,tiktok,#fitness,shorts,australia,4096796,365062,58371,48138,medium,0.11510726919280335
Post_228,youtube,#gaming,live stream,uk,940184,131729,1559,12135,low,0.15467504233213925
Post_229,twitter,#viral,shorts,usa,2184148,326178,46185,1902,high,0.17135514626298218
Post_230,instagram,#challenge,shorts,australia,1498512,205870,16834,34865,medium,0.1718831747760445
Post_231,instagram,#dance,video,germany,4300552,428951,18627,12148,low,0.10689930036888289
Post_232,youtube,#challenge,reel,japan,3267055,133930,81976,22080,low,0.07284419760304005
Post_233,tiktok,#fitness,post,canada,2095875,78244,43598,16006,low,0.0657710979900996
Post_234,youtube,#education,shorts,usa,1465227,158579,8809,33511,high,0.1371111779949455
Post_235,youtube,#viral,reel,japan,1715566,326676,69635,19235,low,0.24222093466529412
Post_236,instagram,#fitness,reel,brazil,4708687,133736,49028,3765,medium,0.039613803168484125
Post_237,youtube,#challenge,tweet,uk,1091635,198291,5604,31314,medium,0.21546487608037485
Post_238,tiktok,#dance,reel,uk,1111002,266261,22269,39363,low,0.29513268202937526
Post_239,youtube,#comedy,post,japan,869375,123390,59716,46989,low,0.264667145938174
Post_240,twitter,#gaming,video,japan,2551247,384714,36284,18974,high,0.17245370597202075
Post_241,youtube,#viral,shorts,india,920528,400658,58158,26810,high,0.5275515790937375
Post_242,youtube,#viral,shorts,japan,2846948,55585,27235,29699,medium,0.0395226748082508
Post_243,instagram,#fashion,shorts,uk,2801638,111973,60593,35663,medium,0.0743240204480379
Post_244,tiktok,#dance,video,canada,1556267,56055,12612,20474,low,0.05727873173433608
Post_245,tiktok,#viral,post,brazil,1828433,126683,82181,48618,low,0.1408211293495578
Post_246,youtube,#dance,post,uk,3988715,211316,4804,33837,medium,0.0626660465839249
Post_247,tiktok,#fashion,video,canada,3290858,250085,41283,20251,high,0.09469232643888008
Post_248,youtube,#viral,tweet,usa,3703315,449350,54600,26510,medium,0.14323923295749888
Post_249,tiktok,#education,post,canada,506215,303740,98918,36904,medium,0.8683306500202483
Post_250,youtube,#fitness,post,canada,762333,406861,79834,13785,medium,0.6565109997861827
Post_251,twitter,#dance,post,brazil,3252738,420498,5811,2661,high,0.13187966568472467
Post_252,instagram,#fashion,tweet,germany,4080585,203708,22677,23693,medium,0.06128484028638051
Post_253,tiktok,#comedy,tweet,germany,1450112,409512,91982,9118,medium,0.3521190087386354
Post_254,twitter,#gaming,post,uk,2512592,418988,4122,18706,low,0.17584072543413334
Post_255,tiktok,#fitness,video,japan,3714148,291659,27722,28024,high,0.09353558339624592
Post_256,twitter,#challenge,tweet,usa,2276898,337038,56049,13735,medium,0.17867379215054868
Post_257,youtube,#challenge,shorts,australia,342675,493624,4168,35727,low,1.556924199314219
Post_258,instagram,#fitness,post,australia,2787914,198350,96753,45466,medium,0.12215907664296675
Post_259,instagram,#comedy,tweet,usa,893271,69359,66059,43386,medium,0.2001676982684986
Post_260,youtube,#dance,post,japan,2061951,381908,33698,25476,high,0.2139148796455396
Post_261,twitter,#music,reel,canada,3823345,32222,64447,44453,high,0.0369106109963919
Post_262,twitter,#fitness,live stream,usa,4330038,118835,19134,27781,high,0.03827910979072239
Post_263,youtube,#fitness,video,canada,2714016,86422,85827,36320,high,0.07684884687488946
Post_264,instagram,#music,tweet,canada,4588770,448601,52948,32818,medium,0.11645103154004233
Post_265,instagram,#tech,video,canada,485489,265199,14446,34447,low,0.6469600753055167
Post_266,youtube,#education,post,uk,2688752,472554,2742,14495,low,0.18216295143620534
Post_267,youtube,#comedy,post,brazil,2417512,154294,98184,18043,medium,0.11190058208604549
Post_268,tiktok,#comedy,tweet,japan,1612356,488560,75088,11999,low,0.35702227051594065
Post_269,instagram,#dance,shorts,japan,242459,366128,20712,22677,medium,1.6890154624080773
Post_270,twitter,#dance,live stream,uk,4041579,326486,69020,47705,high,0.10966283227421758
Post_271,twitter,#dance,post,canada,2214561,156292,18753,3643,medium,0.08068777513918109
Post_272,youtube,#dance,post,uk,2524440,262085,98352,37571,high,0.1576618972920727
Post_273,instagram,#viral,reel,canada,4675636,328475,4510,45120,low,0.08086707348476228
Post_274,youtube,#tech,live stream,uk,1093553,43035,52724,29091,low,0.1141691349207583
Post_275,twitter,#music,tweet,australia,2860355,157614,70326,47778,medium,0.0963929302481685
Post_276,twitter,#fitness,video,usa,4643597,200851,87149,35230,low,0.06960767697972067
Post_277,twitter,#challenge,reel,brazil,4889936,142520,56142,26214,high,0.0459875139470128
Post_278,tiktok,#education,reel,japan,1483481,353517,41615,11414,low,0.2740486733567872
Post_279,instagram,#dance,tweet,germany,734933,421895,50675,12150,medium,0.6595431148145477
Post_280,youtube,#fashion,reel,japan,4485712,464196,67958,45876,high,0.12886025674407986
Post_281,twitter,#comedy,shorts,uk,1165962,105888,48384,47511,high,0.17306138622013412
Post_282,twitter,#gaming,tweet,india,791211,251591,9900,36509,high,0.3766378374415927
Post_283,youtube,#dance,post,uk,755921,275570,36739,37643,high,0.4629478477248284
Post_284,instagram,#fitness,tweet,india,1966067,136472,63614,18304,medium,0.11107963258627504
Post_285,twitter,#fashion,tweet,germany,3275624,455318,72364,39134,medium,0.17304061760446254
Post_286,twitter,#comedy,live stream,india,4914869,200375,2393,37178,medium,0.048820426343001204
Post_287,twitter,#music,tweet,japan,694970,180020,88660,5645,high,0.3947292688893046
Post_288,youtube,#comedy,tweet,australia,2507996,317525,50404,25462,high,0.15685471587673983
Post_289,twitter,#dance,reel,usa,2122512,277831,95870,1487,high,0.17676602063969485
Post_290,twitter,#dance,reel,usa,4445772,159466,75212,24528,low,0.05830393461473058
Post_291,instagram,#education,video,uk,495496,300566,97031,48197,low,0.8996924294040719
Post_292,tiktok,#challenge,post,germany,1035819,94853,68842,31836,low,0.18876946648014759
Post_293,twitter,#comedy,tweet,usa,424447,50456,76836,13951,high,0.3327694623828181
Post_294,tiktok,#gaming,shorts,germany,3949831,495150,7915,2858,high,0.12808725234066975
Post_295,instagram,#tech,reel,canada,70424,392371,44740,10705,low,6.358854935817335
Post_296,tiktok,#fitness,live stream,india,4820393,44861,86973,46410,medium,0.03697706805233515
Post_297,tiktok,#fashion,reel,canada,864256,437954,60063,46333,high,0.6298481005627962
Post_298,instagram,#comedy,reel,germany,1853392,232747,87334,27858,medium,0.1877309279418493
Post_299,twitter,#challenge,live stream,germany,4700334,65555,32126,13215,high,0.023593216992664777
Post_300,tiktok,#education,video,brazil,4412697,108323,25130,6295,high,0.03166952093017037
Post_301,instagram,#education,live stream,brazil,340950,127995,30856,14353,high,0.5080041061739258
Post_302,tiktok,#tech,tweet,japan,3763770,75074,87283,26590,medium,0.050201526660768325
Post_303,twitter,#dance,tweet,japan,394485,373829,36151,12167,low,1.0701218043778598
Post_304,twitter,#viral,live stream,australia,4250412,138828,47483,35614,high,0.05221258550935768
Post_305,twitter,#tech,reel,uk,1722013,357734,70729,37238,high,0.27043988634232147
Post_306,twitter,#comedy,video,brazil,1359747,471796,85070,14073,high,0.41988619941797994
Post_307,youtube,#comedy,tweet,germany,3205182,109645,57308,13223,medium,0.05621396850475262
Post_308,instagram,#education,video,india,1333000,426321,26174,27048,medium,0.35974718679669915
Post_309,instagram,#challenge,post,uk,543708,19494,13359,8753,low,0.07652269232749932
Post_310,tiktok,#fitness,shorts,australia,2337694,429342,49196,28304,medium,0.21681280783541387
Post_311,tiktok,#comedy,shorts,brazil,1423060,44643,79715,20950,high,0.10210953859991849
Post_312,twitter,#comedy,live stream,brazil,70463,81866,70328,42489,low,2.7629110313214027
Post_313,tiktok,#dance,post,brazil,245443,457409,42668,8442,low,2.0718415273607316
Post_314,tiktok,#education,tweet,japan,2243003,67157,46609,10189,high,0.05526296665675436
Post_315,youtube,#comedy,post,india,567506,90799,30845,11229,medium,0.23413496949811985
Post_316,youtube,#music,post,japan,1345248,10364,16629,34324,medium,0.04558044315992293
Post_317,instagram,#dance,video,canada,567122,489613,6414,13429,low,0.8983181749253247
